Global Land and Ocean Temperature Anomalies, May
Units: Degrees Celsius
Year,Value
1880,-0.09
1881,0.01
1882,-0.16
1883,-0.15
1884,-0.14
1885,-0.29
1886,-0.17
1887,-0.25
1888,-0.17
1889,-0.03
1890,-0.39
1891,-0.14
1892,-0.30
1893,-0.33
1894,-0.30
1895,-0.21
1896,-0.09
1897,-0.02
1898,-0.30
1899,-0.12
1900,-0.04
1901,-0.13
1902,-0.27
1903,-0.39
1904,-0.43
1905,-0.29
1906,-0.21
1907,-0.47
1908,-0.40
1909,-0.46
1910,-0.31
1911,-0.48
1912,-0.23
1913,-0.40
1914,-0.17
1915,-0.07
1916,-0.22
1917,-0.45
1918,-0.28
1919,-0.18
1920,-0.17
1921,-0.19
1922,-0.27
1923,-0.25
1924,-0.19
1925,-0.22
1926,-0.13
1927,-0.22
1928,-0.18
1929,-0.29
1930,-0.20
1931,-0.16
1932,-0.17
1933,-0.21
1934,-0.05
1935,-0.21
1936,-0.11
1937,-0.02
1938,-0.02
1939,-0.04
1940,0.05
1941,0.25
1942,0.16
1943,0.13
1944,0.26
1945,0.17
1946,-0.03
1947,-0.02
1948,0.14
1949,-0.01
1950,-0.06
1951,0.06
1952,0.03
1953,0.14
1954,-0.20
1955,-0.13
1956,-0.23
1957,0.11
1958,0.10
1959,0.03
1960,-0.09
1961,0.16
1962,0.06
1963,0.01
1964,-0.10
1965,-0.08
1966,-0.03
1967,0.12
1968,-0.08
1969,0.17
1970,0.04
1971,-0.09
1972,0.02
1973,0.21
1974,-0.02
1975,0.07
1976,-0.12
1977,0.24
1978,0.06
1979,0.16
1980,0.32
1981,0.27
1982,0.20
1983,0.30
1984,0.29
1985,0.20
1986,0.25
1987,0.34
1988,0.38
1989,0.28
1990,0.43
1991,0.42
1992,0.33
1993,0.35
1994,0.38
1995,0.36
1996,0.39
1997,0.43
1998,0.67
1999,0.41
2000,0.47
2001,0.60
2002,0.57
2003,0.60
2004,0.45
2005,0.66
2006,0.55
2007,0.61
2008,0.50
2009,0.59
2010,0.76
2011,0.57
2012,0.72
2013,0.71
2014,0.80
2015,0.86
